Noticia,Rotulo
"Comissão do Senado retoma voto presencial e aprova 32 indicados para representações no exterior

a comissão de relações exteriores (cre) do senado aprovou nesta segunda-feira (21) os nomes de 32 indicados pelo governo para representações do brasil no exterior. foram as primeiras votações presenciais do colegiado desde março, quando as reuniões foram suspensas por causa da pandemia da covid-19. as 32 indicações aprovadas pela comissão seguem, agora, para análise no plenário do senado. não há data para que elas sejam votadas. o retorno temporário das atividades presenciais é necessário para a análise de indicados para embaixadas e agências internacionais, para o superior tribunal militar (stm) e para o conselho nacional de justiça (cnj) – estas duas últimas, feitas pela comissão de constituição e justiça.",fake
"Após atos de rua, torcidas se aventuram nas urnas  

candidate-se a vereador em 20 cidades, segundo a associação nacional das torcidas organizadas (anatorg). em partidos políticos, há quem acredite que integrantes de torcidas organizadas possam ter boa votação. a visibilidade dos líderes de protestos anti-bolsonaro pode ajudá-los a lembrar o dia da votação. os atos de rua reuniram integrantes de gaviões da fiel, mancha alviverde, independente, torcida jovem do santos, palmeiras antifascista, democracia corintiana, porcomunas, além de outras organizações que defendem a democracia e pautam contra o governo federal.</s>",fake
"El Salvador intercepta um barco com 1,4 tonelada de cocaína na costa  

el salvador interceptou um barco com um carregamento de 1,4 tonelada de cocaína, avaliada em 35 milhões de dólares, disse no sábado o presidente do país, nayib bukele. o presidente acrescentou que a operação terminou com seis detenções: três mexicanos, dois equatorianos e um colombiano. ""nossa força naval acaba de interceptar um navio a 490 milhas náuticas (907 km) de nossas costas. estima-se que ele possa trazer 1,4 tonelada de drogas, no valor de 35 milhões de dólares"", escreveu bukele em sua conta no twitter.",fake
"'Histórico', 'país sem lei': políticos repercutem decisão pró-Lula no STF  

o julgamento no stf (supremo tribunal federal) confirmou, por 8 votos a 3, a anulação de todas as condenações do ex-presidente no âmbito da operação lava jato. o julgamento ainda não terminou. a maioria dos ministros concordaram com a incompetência da 13a vara federal de curitiba para julgar lula, mas não entraram em consenso sobre o destino dos processos: distrito federal ou são paulo. no julgamento, o supremo confirma direitos de lula! dia histórico, mas chegou! o primeiro pedido da defesa foi o de sérgio moro, presidente nacional do pt, deputada federal gleisi hoffmann.</s>",fake
"Ajuda ou marketing? Por que montadoras entraram na guerra contra a pandemia  

emprestam tecnologia e engenheiros tanto para desatar o nó dos respiradores mecânicos como para multiplicar o número de aparelhos. mas o que leva empresas gigantescas a entrarem na guerra contra o coronavírus? segundo especialistas ouvidos pelo uol carros, há vários interesses embutidos nas boas ações. a ideia é de que para sobreviverem as marcas precisam apontar para a sociedade qual seu papel no cotidiano das pessoas. a mudança vem das redes sociais.</s>",fake
"Senado aprova projeto que libera gastos para 6 universidades e rede de hospitais  

o senado aprovou um projeto para liberar aumento de gastos em seis universidades federais e em hospitais universitários até o próximo ano. a proposta foi aprovada por 60 votos favoráveis, 2 abstenções e nenhum contrário. a articulação foi feita em reunião entre senadores. os senadores exaltaram o trabalho de davi alcolumbre, que deixará a presidência do senado em fevereiro e tenta fazer seu próprio sucessor. em um momento da sessão, davi alcólumbre, que deixou a presidência, aplaudiu o esforço do presidente do senado. o líder do legislativo se emocionou com o discurso de aliados. o projeto autoriza a contratação de pessoal e realização de concurso público para seis universidades criadas em 2018 após o desmembramento.</s>",fake
"CDC dos EUA recomenda reabertura de escolas com máscaras e outros protocolos de saúde  

o centro de controle e prevenção de doenças dos estados unidos emitiu uma nova orientação para reabertura das escolas no país, recomendando o uso universal de máscara e distanciamento físico como estratégias de mitigação. as diretrizes, que também enfatizam a limpeza das instalações, higiene pessoal e rastreamento de contato, têm como objetivo dar às escolas um roteiro para levar os 55 milhões de alunos de escolas públicas do país de volta às salas de aula sem deflagrar surtos de covid-19.</s>",fake
"Lira diz que tentará votar reforma do IR mesmo sem acordo para aprovar o texto  

lira pôs o texto em votação na semana passada, mas cancelou após uma movimentação de líderes em desacordo com a proposta. um tema deste nunca vai dar acordo, longe de se dar acordo num país que quer quebrar paradigma de pagar dividendos. o presidente da câmara disse que há um compromisso do presidente do senado, rodrigo pacheco, de pautar o tema, mas que ele não pode interferir em como os senadores vão votar. sobre o pedido de impeachment dos ministros do supremo tribunal federal, luís roberto barroso e alexandre de moraes anunciado pelo presidente jair bolsonaro, lira afirmou que é tempo de autocontenção. ele abriu a sessão da câmara na sequência, com a votação da medida provisória (mp) 1.042, sobre novas regras para cargos em comissão no poder executivo. os deputados devem votar ainda nesta terça-feira o segundo turno da reforma política, que define a volta das coligações.</s>",fake
"Na fila para ver Nossa Senhora Aparecida, um pedido: saúde  

a visitação à imagem encontrada no rio paraíba do sul em 1717 começou às 2 horas e é considerada o momento mais importante da visita ao santuário. os pedidos foram muitos, mas um prevalecente: saúde.paulo zanette e seu filho, bruno, caminharam 160 quilômetros até aparecida. os cinco dias na estrada foram dedicados a pedir por uma amiga da família, que está grávida. silvia bearari levou uma peça de cera que representava a recuperação do filho, que superou a covid-19. ele estava muito mal, intubado. eu pedi para nossa senhora e ela tirou ele da uti. por isso, vim agradecer. sandra rocha foi a aparecida agradecer pela recuperação do pai, que sofreu um acidente vascular cerebral no início do ano. depois de 11 horas de caminhada, maria de lourdes anacleto ainda encontrou forças para esperar na fila. a fila para a visita da imagem é de longe a maior concentração de devotos. as missas na igreja e no centro de eventos padre vitor coelho de almeida foram realizadas durante todo o dia. o início da visita foi marcado pela saúde.</s>",fake
"Terceira cidade chinesa entra em confinamento após caso de covid-19  

uma terceira cidade da china anunciou a entrada em confinamento, nesta quinta-feira (28), após o surgimento de um único caso de covid-19, já que as autoridades temem os riscos de contágio a menos de 100 dias do início das olimpíadas de inverno, em pequim. cerca de 6 milhões de chineses estão agora sujeitos a medidas de confinamento, dois dias depois de uma decisão similar decretada na grande cidade de lanzhou, de 4 milhões de habitantes, a 1.700 quilômetros ao oeste de pequim. primeiro país a enfrentar o coronavírus, no final de 2019, a china conseguiu controlar a pandemia, amplamente, desde a primavera (boreal) de 2020 (outono no brasil), com medidas drásticas. entre elas, o fechamento das fronteiras.",fake
"Lira anuncia que Câmara retomará atividades presenciais em 18 de outubro  

a decisão da mesa diretora foi comunicada aos líderes partidários durante reunião nesta segunda-feira, 20. segundo lira, as votações no plenário e nas comissões serão presenciais. segundo ele, as votações serão presenciais, sem a possibilidade dos deputados votarem fora do congresso. ele afirmou que estuda ainda a possibilidade de requerimentos de obstrução poderem ser analisados remotamente. a decisão da mesa diretora foi comunicada aos líderes partidários durante reunião nesta segunda-feira, 20. segundo lira, as votações no plenário e nas comissões serão presenciais. segundo ele, as votações serão presenciais, sem a possibilidade dos deputados votarem fora do congresso. ele afirmou que estuda ainda a possibilidade de requerimentos de obstrução poderem ser analisados remotamente.",fake
"Maia: 'Pazuello é um desastre, Guedes está enfraquecido e Bolsonaro é insensível'  

em entrevista coletiva, o presidente da câmara dos deputados, rodrigo maia, disparou duras críticas ao presidente jair bolsonaro e aos titulares da pasta da saúde, eduardo pazuello, e paulo guedes. na coletiva, disse que o ministro está enfraquecido no cargo e, por isso, não pode andar as reformas necessárias à retomada do crescimento econômico no país. o presidente do senado disse que ele é um estrategista militar, mas se perdeu na condução da pasta no combate à covid-19. segundo ele, o ministro da saúde é um desastre. e disse que os militares, numa referência a essa ala do governo bolsonaro, estão sempre preparados para comandar e não pra liderar.</s>",fake
"Caixa anuncia mais quatro anos de patrocínio à ginástica por R$ 30 milhões  

a caixa econômica federal anunciou um novo contrato de patrocínio à confederação brasileira de ginástica (cbg). o contrato antigo vence em 31 de dezembro e o novo vai envolver a marca loterias caixa, pelo valor de r$30 milhões por quatro anos, até maio de 2025, incluindo os jogos olímpicos de paris, em 2024 e tóquio, em tóquio. o contrato entre o banco do brasil e o vôlei vence em 28 meses de governo jair bolsonaro (sem partido). o brasil passou o fim de semana passado sem nenhum patrocínio de estatal às confederações. os últimos contratos da caixa terminaram no fim de dezembro do ano passado e nenhum foi renovado até hoje. os antigos acordos com desportos aquáticos, tênis e rúgbi, foram descontinuados ainda em 2019. o primeiro contrato a ser retomado é o da ginástica.</s>",fake
"Após aglomeração, prefeito de BH quer restringir acesso à Lagoa da Pampulha  

o prefeito de belo horizonte, alexandre kalil, disse que restringirá o acesso à orla da lagoa da pampulha por tempo indeterminado. as medidas foram anunciadas como medida para evitar aglomerações durante a pandemia. a área do entorno da lagoa estava cheia de famílias passeando e pessoas se exercitando sem máscaras e sem respeitar distância mínima de um metro e meio entre elas. a medida deve durar enquanto a secretaria municipal de saúde mantive a quarentena.</s>",fake
"MPF cobra das aéreas esclarecimentos sobre remarcação e reembolso de voos  

o ministério público federal cobrou das companhias aéreas respostas detalhadas sobre como as empresas têm adotado as medidas de remarcação e reembolso de passagens durante o período da pandemia do novo coronavírus. no ofício enviado para as companhias aéreas, o mpf cobra de forma detalhada os critérios utilizados em relação a remarcações e reenbolsos de passagens. o mpf também procura saber se já existem no site da companhia informações sobre as regras de cancelamento.</s>",fake
"Sociedades médicas apontam falta de protocolo de procedimentos unificado para tratar paciente de Covid

não existe um protocolo nacional detalhado que unifique os procedimentos não medicamentosos a serem realizados em pacientes da covid-19, de acordo com especialistas consultados pelo g1. dirigentes de sociedades médicas defendem a criação e atualização constante do documento pelo ministério da saúde e sugerem que ele seja focado em condutas e práticas de manejo dos pacientes. em uma das notas técnicas sobre o manejo clínico e tratamento dos casos, há a opção de administrar doses de azitromicina com cloroquina ou hidroxicloroquina tanto em casos leves quanto nos moderados e leves.</s>",fake
"Críticos de Bolsonaro, candidatos de SP abrem campanha gerando aglomerações  

candidatos à prefeitura de são paulo que criticaram a condução do presidente jair bolsonaro estão promovendo aglomerações. joice hasselmann (psl), márcio frança (psb), jilmar tattto (pt) e guilherme boulos (psol) posaram juntos a militantes sem respeitar o distanciamento social. o calendário eleitoral estipulou que, a partir deste domingo, está liberada a campanha por parte dos candidatos. quase todos os candidatos realizaram atos para marcar o início da campanha. os candidatos não conseguiram a presença da vice, luiza erundina, no ato de abertura da campanha no bairro são mateus, na zona leste.</s>",fake
"Governo quer obter R$ 150 bilhões com privatizações em 2020, diz secretário

o ministério da economia anunciou que o governo pretende vender 300 ativos públicos em 2020. a meta inclui empresas controladas pelo governo, como a eletrobras, subsidiárias, coligadas e participações societárias. o anúncio foi feito pelo secretário-especial de desestatização e desinvestimento, salim mattar. segundo o secretário, o banco do brasil, a caixa econômica federal e a petrobras não serão privatizadas. para a venda dos ativos públicos, o governo deve enviar um projeto ao congresso nacional em fevereiro propondo um fast track (caminho rápido) para vender os ativos públicos.</s>",fake
"Ministério da Saúde distribui mais 6,6 milhões de doses de vacinas Covid-19 para imunizar população por faixa etária

com uma nova distribuição de 6,6 milhões de doses de vacinas covid-19, o ministério da saúde envia imunizantes para a vacinação de brasileiros por faixa etária em todo o país. as doses começaram a ser distribuídas nesta sexta-feira (30) aos estados e distrito federal. nessa remessa, estão sendo enviadas doses para a população de 45 a 54 anos. do total de doses distribuídas no 31º informe técnicodo ministério da saúde, 3,6 milhões são da pfizer/biontech e 3 milhões de doses da coronavac/butantan. as recomendações e o quantitativo por estado estão no 31º informe técnico publicado pela pasta.",fake
"Deputado: Se governador fosse indiciado em CPI no AM, Aziz também seria  

em depoimento à cpi da covid, o deputado estadual do amazonas fausto junior (mdb) declarou que, caso o governador do estado wilson lima (psc) fosse investigado pela cpi realizada pelo legislativo local, o senador omar aziz (psd-am), presidente da cpi da covid no senado, também deveria ser. a declaração ocorreu em tom de provocação, depois que aziz questionou a razão pela qual lima não foi investigado durante os trabalhos da cpi da saúde, na assembleia legislativa do am. a fala deixou o senador visivelmente irritado. aziz: quem faz o processo indenizatório não é o governador do estado, são as secretarias.",fake
"GUEDES BABA 2: ""Você está doente, pobre? Pegue o voucher é vá ao Einstein""  

a reunião do conselho de saúde suplementar esteve mais para uma conversa de pessoas de estado interessadas em implementar políticas públicas em favor dos brasileiros. desde o começo do governo, o ministro da economia, paulo guedes, está de olho nas verbas da saúde e da educação. ele já queria acabar com os desembolsos obrigatórios bem antes de o coronavírus aparecer por aqui. e manteve a determinação mesmo em meio a milhares de mortos. não acredite que o sus evitou milhares de mortes. não pense que o nosso guia genial da economia tem planos para fortalecer o sistema.</s>",fake
"A prisão de Steve Bannon, o guru do guru dos Bolsonaros  

o governo obama e a extrema direita mundial sofreram um sério baque na manhã desta quinta-feira. o super-guru steve bannon, ex-estrategista de trump, acusado de fraude numa campanha virtual de doações destinada a erguer um muro na fronteira com o méxico. bannon estreitou laços com os bolsonaros na campanha presidencial de 2018, quando foi considerado o guru do guru olavo de carvalho, que mora na virgínia, nos estados unidos, onde é caçador de ursos nas horas vagas. no jantar de confraternização oferecido pela embaixada americana em washington, o presidente juscelino kubitschek se sentou entre os gurus dele e olavo carvalho.</s>",fake
"Divididos, caminhoneiros anunciam greve para cobrar governo Bolsonaro  

os caminhoneiros anunciam uma greve para o próximo domingo, 25 (na verdade, 00h do dia 26). as reivindicações são a redução do preço dos combustíveis, a efetivação do piso mínimo e a liberação de pedágio para veículos sem carga. na última vez em que foi decretada greve, em fevereiro, o movimento não vingou devido a entidades próximas ao governo. a adesão agora é maior.</s>",fake
"Caixa troca diretores da Funcef após tentativa de interferência  

a caixa decidiu trocar três diretores da funcef, fundo de pensão dos funcionários do banco, entre eles o diretor-presidente, renato villela e os responsáveis pela área de investimentos. segundo apurou o estadão/broadcast, a mudança teria sido motivada por insubordinação ao presidente da caixa, pedro guimarães, que queria ter mais poder sobre a alocação de recursos do fundo, que é um dos maiores do país e tem patrimônio superior a r$ 80 bilhões. a recusa da fundação dos economiários federais (funcef) em participar da oferta pública inicial de ações (ipo) da caixa seguridade, em abril, foi apontada como gota d'água para a troca de comando. o ingresso do fundo do fundo poderia elevar o preço da oferta.</s>",fake
"Doria rebate governo federal: 'Brasil quer menos política e mais vacina'  

o governador de são paulo, joão doria, rebateu declarações que envolvem o início da campanha de vacinação contra a covid-19. o tucano voltou a cobrar uma definição do ministério da saúde sobre a data em que o governo pretende começar a imunizar a população. o secretário executivo do ministério afirmou que doria estaria brincando com a esperança de milhares de brasileiros. ele acusou o governador de não ter uma data para começar a vacinação. o governador não tem a data certa para começar.</s>",fake
"Covid: Moraes manda governo retomar divulgação completa de dados acumulados  

o ministro do supremo tribunal federal (stf) alexandre de moraes determinou hoje que o ministério da saúde retome a divulgação dos dados acumulados do coronavírus no portal oficial. a decisão veio após analisar ação apresentada pelos partidos rede sustentabilidade, psol e pcdob. o ministro determinou ainda que a advocacia geral da união preste as informações que entender necessárias no prazo de até 48 horas. na semana passada, o governo mudou a forma de apresentar os dados de casos confirmados, mortes e curvas de infecção por região. a pasta não apresentará os dados totais das últimas 24 horas. a medida liminar determina ao ministro da saúde que mantenha, em sua integralidade, a divulgação diária dos dados epidemiológicos relativos à pandemia.</s>",fake
" Bolsonaro em Dubai, Maratona do Rio e mais da manhã de 15 de novembro 

viagem do presidente jair bolsonaro a dubai, segundo menor número de mortes por covid-19 e a maratona do rio de janeiro estão entre os destaques do 5 fatos manhã desta segunda-feira, 15 de novembro de 2021. o presidente jair bolsonaro (sem partido) participou hoje da abertura do invest in brazil, um fórum de investimentos que acontece em dubai, nos emirados árabes. a ideia do evento é apresentar aos investidores oportunidades de negócios no brasil em áreas com infraestrutura, agricultura e defesa.",fake
"Senador Luiz Carlos Heinze assume vaga de Ciro Nogueira na CPI da Covid  

o senador luiz carlos heinze (pp-rs) assumiu a vaga de titular da cpi da covid no lugar de ciro nogueira (pp-pi), que ficará fora do país nesta semana. os dois são aliados do presidente jair bolsonaro e integram a tropa de choque do governo federal, que tem minoria na comissão e é o principal alvo da investigação até o momento. ciro nogueira, que ficou como suplente do colegiado, pediu licença dos trabalhos no senado para viajar aos estados unidos. a casa autorizou a viagem e bancará as despesas do senador no período de 5 a 13 de junho. de acordo com requerimento assinado por ele, o parlamentar participará de uma missão oficial sobre telecomunicações em washington e em nova york a convite do ministério das comunicações.",fake
"Bolsonaro é uma das maiores ameaças aos direitos humanos na América Latina  

o presidente jair bolsonaro representa uma das maiores ameaças aos direitos humanos na américa latina. a análise é do americano kenneth roth, diretor-executivo da organização human rights watch, ex-procurador federal dos eua e uma das vozes mais ativas no campo dos direitos humanos no mundo. em resposta à coluna, o líder de uma das principais organizações no campo de direitos humanos deixa claro que a situação brasileira preocupa. ele fala da situação preocupada no brasil, dizendo que a deferência que ele concede à polícia que atira em suspeitos nas favelas, e dos ataques contra a sociedade civil. seus comentários ocorrem às vésperas da primeira reunião do conselho de direitos humanos da onu, a partir de segunda-feira.</s>",fake
"Lotomania: nenhuma aposta crava 20 dezenas e prêmio sobe para R$ 8 milhões  

o sorteio do concurso 2217 da lotomania terminou sem vencedores. ninguém cravou as 20 dezenas que saíram em evento realizado hoje (28) pela caixa. por isso, o prêmio acumulou para o próximo sorteio, que terá em jogo uma bolada estimada em r$ 8 milhões. as dezenas sorteadas foram 03-05-08-09-13-15-23-26-38-44-48-55-59-67-70-73-84-85-86-90. desta vez, nenhum bilhete errou os 20 números sorteados e levou aquele que normalmente é o segundo maior prêmio da lotomania. por outro lado, 13 apostas tiveram 19 acertos. cada uma delas recebeu uma premiação de r$ 29.558,53. ainda houve mais vencedores nas seguintes categorias:",fake
"63% dos brasileiros acham que só vacinados podem viajar ou ir a eventos  

para 63% dos brasileiros que responderam a uma pesquisa realizada pela ipsos em diferentes países, apenas as pessoas vacinadas contra a covid-19 deveriam poder participar de atividades que envolvem grupos grandes de pessoas — como usar o transporte público, viajar e ir a eventos culturais ou esportivos. por outro lado, 37% consideram que restrições como essas seriam injustas com aqueles que não podem se vacinar, ainda estão aguardando uma data para receber o imunizante ou decidiram não ser vacinados neste momento. os dados constam de estudo sobre as perspectivas da vacinação contra a covid-19 e o possível uso de passaportes sanitários no mundo divulgado na manhã de hoje.",fake
"Projeto do novo Bolsa Família deve incluir alta de impostos da cesta básica  

em paralelo à reforma tributária, o governo deve enviar ao congresso um projeto de criação do renda brasil, propondo aumento de impostos sobre os produtos que compõem a cesta básica. a informação foi confirmada pela assessora especial do ministro da economia, vanessa rahal canado. o renda social substituirá o bolsa família, o abono salarial, o salário-família e o seguro defeso. entre os produtos isentos de impostos, estão o queijo gorgonzola, iogurte light, diet, leite condensado, creme de leite, cream cheese, cappuccino em pó solúvel, filé de alguns tipos de peixe e ovo de jacaré.</s>",fake
"Biden confirma que governo federal pagará gastos da Flórida por desabamento  

o presidente dos estados unidos, joe biden, confirmou hoje que o governo federal assumirá 100% dos gastos que o estado da flórida e o condado de miami-dade tiverem devido ao desabamento parcial de um edifício residencial em surfside. ""quero assumir 100% dos custos nos primeiros 30 dias"", disse o governante em reunião com autoridades e chefes das operações de busca e resgate. o encontro foi realizado em um hotel em bal harbour, perto de surfside, no sudeste do estado. biden e a primeira-dama, jill, chegaram nesta quinta-feira a miami para também se encontrarem com sobreviventes e famílias das vítimas. até o momento, 145 pessoas estão desaparecidas e 18 já foram confirmadas como mortas desde o desabamento.",fake
"Imagina se você engravidasse agora?  

se o título desta coluna deu frio na barriga, corre aqui para a gente conversar. se a autora não recomendar leitura deste texto por mulheres grávidas, é provável que todas nós repensemos nosso planejamento familiar e nossos sonhos de uma nova gravidez. a reflexão sobre métodos contraceptivos que usamos ou que não usamos mas gostaríamos de usar. no momento de crise econômica e sanitária sem precedentes na história recente, devemos reconsiderar alguns fatos. começaram a surgir casos de adoecimento grave e mortes em mulheres gestantes e recém-pariram. até o momento, não havia evidências de que este grupo era de maior risco para desfechos ruins na covid-19. mesmo assim, algumas sociedades médicas de ginecologia e obstetrícia manifestaram preocupação e sugeriram um adiamento destes planos. a preocupação é por outros motivos: não sabemos com certeza qual será o cenário da assistência à saúde no brasil em dois ou três meses.</s>",fake
"Depois de Aras, AGU aciona STF para liberar atividades religiosas na Páscoa  

em manifestação enviada ao supremo tribunal federal (stf) em caráter de urgência nesta quinta-feira, 1º, a advocacia geral da união (agu) pediu a suspensão de todos os decretos ou atos administrativos baixados por governadores e prefeitos para proibir celebrações religiosas na pandemia, sobretudo na páscoa. o pedido, assinado pelo advogado-geral da união, andré mendonça, foi encaminhado em uma ação apresentada pelo partido social democrático (psd) contra o decreto do governador joão doria (psdb) que, no pacote de medidas para enfrentamento do coronavírus, impediu os templos de abrirem as portas para atividades coletivas em são paulo. a agu pede a derrubada da ordem do tucano e a e a extensão dos efeitos para eventuais determinações semelhantes de outros estados ou municípios. (...) leia íntegra no estadão.",fake
"Saiba como participar da pesquisa NutriNet Brasil sobre saúde, alimentação e nutrição

o que costuma ter no seu prato? a pesquisa nutrinet brasil é uma parceria entre o núcleo de pesquisas epidemiológicas em nutrição e saúde da universidade de são paulo e o ministério da saúde. a pesquisa vai investigar os principais padrões alimentares praticados pela população brasileira e sua relação com o risco de doenças crônicas não transmissíveis. a participação de 200 mil voluntários será on-line e solicitada a cada três meses. “esta será uma das maiores pesquisas sobre alimentação já realizada no país.</s>",fake
"Elefantes fogem de reserva na China e deixam rastro de destruição por centenas de quilômetros

a manada de 15 elefantes tem viajado pelo país destruindo plantações e construções por onde passam, além de assustar moradores dos vilarejos e cidades da região. o governo de yunnan alertou que a manada se encontrava a apenas 20 quilômetros de kunming, capital da província e lar de milhões de pessoas. non none none none nane — em uma floresta, eles precisariam andar longas distâncias para acharem comida. becky shu chen, cientista que pesquisa os elefantes da região, disse que eles adoram comer alimentos saborosos, como crianças, sorvete. ela teme pelo aumento da população de elefantes.</s>",fake
"EUA: Biden convida senadores republicanos para discutir o pacote fiscal  

o presidente dos estados unidos, joe biden, vai se reunir com um grupo de dez senadores republicanos para discutir o tamanho do estímulo fiscal. o convite foi feito ontem, horas depois de os senadores enviarem uma carta a biden pedindo que ele negociasse. a meta é aprovar o pacote até março, quando acaba o auxílio-desemprego extra e outros benefícios relacionados à pandemia. os democratas controlam 50 cadeiras da casa, contra 50 dos republicanos.</s>",fake
"E agora, a economia vai ajudar a política?

a força política de jair bolsonaro sensibilizou o congresso. ajustes importantes foram feitos nos projetos do executivo. muitas vezes, mudanças importantes, mas com resultado positivo para o governo, como a reforma da previdência, por exemplo, a reforma de previdência. a pergunta que está no ar é a seguinte: e em 2020, a economia vai ajudar a política?"". e quando se pergunta sobre a influência da economia na política, a recuperação do crescimento econômico, que começa a dar as caras em 2019 e faz promessas fortes para 2020 vai ajudar o congresso a votar mais matérias econômicas, como reforma tributária, administrativa, autonomia do banco central, o marco regulatório do saneamento e tantas outras que a equipe de paulo guedes vai preparar? a dúvida do momento é que os políticos tradicionais, que dominam o legislativo, dizem que a economia embalada como dizem alguns economistas, o congresso não vai querer colocar água no chope de bolsonaro. a esquerda, sim, reconhece que, se a economia melhorar de forma significativa, bolsonaro ficará mais forte para 2022. quem apoia bolsonaro? o psl é o único partido que apoia bolsonaro, o psl. o partido está dividido ao meio, mas tudo pode mudar. a campanha de 2018",fake
"Parlamentares de vários países rechaçam resultados de eleição na Nicarágua  

parlamentares dos estados unidos, de países da américa latina e da europa rechaçaram nesta sexta-feira o que classificaram como ""eleições fraudulentas"" na nicarágua, que acontecerão no próximo domingo e em que o presidente, daniel ortega, tentará obter um novo mandato. a posição foi manifestada em um comunicado conjunto emitido pelos 17 presidentes das comissões de relações exteriores das casas legislativas de países como eua, espanha, colômbia, equador, reino unido, ucrânia, assim como do parlamento europeu. ""rechaçamos enfática e categoricamente os resultados dessas eleições falsas, os quais já foram determinados de maneira fraudulenta e vergonhosa"", aponta nota emitida pelo gabinete de bob menéndez, que lidera o comitê de relações exteriores do senado americano.",fake
"Como a escravidão atrasou o processo de industrialização do Brasil

o brasil importou mais africanos escravizados do que qualquer outro país e, por isso, a escravidão durou mais tempo. mas, ao invés de promover o crescimento econômico e o desenvolvimento, o trabalho compulsório de negros e negras atrasou o desenvolvimento do país, mostra estudo feito por pesquisadores das universidades manchester, bonn e fgv (fundação getulio vargas). o estudo mostra que a escravidão beneficiou apenas uma pequena elite enquanto o desenvolvimento de um país como um todo. entre os séculos 16 e 19, cerca de 4,9 milhões de africanos desembarcaram na costa brasileira. o tráfico de africanos começou no nordeste do país na década de 1560, com os cativos sendo empregados inicialmente em grandes plantações de cana-de-açúcar nos entornos de recife e salvador. na década de 1850, o número chegou a mais de 8 mil por ano. o sudeste se tornou um destino relevante para escravizado no século 18, durante a corrida do ouro em minas gerais.</s>",fake
"Generais continuam ao lado de Bolsonaro, mas ""rachadinha"" causa desgaste  

mantenha o apoio de cinco generais da reserva ouvidos pela coluna, jair bolsonaro comemora o segundo dia da independência como presidente mantendo o apoio dos oficiais do alto escalão das forças armadas. os principais pontos de desgaste do chefe do executivo são o caso da “rachadinha”, o acordo com o centrão e o apoio à redução da influência da força-tarefa da lava jato. quatro dos oficiais criticaram o esforço de bolsonaro para livrar os filhos da investigação sobre o esquema de rinhadinhas ocorrido na assembleia legislativa do rio, que teria como beneficiário o ex-deputado estadual flávio bolsonaro, atual senador. os militares que apoiam o governo estão atentos à preocupação com o retorno da esquerda ao poder, o bom desempenho de ministros como tarcísio de freitas (da infraestrutura) e o maior investimento nas forças armadas, mas são muito fortes as críticas à falta de prioridade na repressão a práticas pouco republicanas. o general carlos alberto dos santos cruz, ministro da secretaria de governo da presidência, escreveu ontem no twitter o general carlos henrique de santos cruz.</s>",fake
"Papa Francisco foi vacinado contra covid-19 no Vaticano  

cidade do vaticano, 13 jan 2021 (afp) - o papa francisco, de 84 anos, foi vacinado contra a covid-19 nesta quarta-feira (13), no primeiro dia da campanha de vacinação organizada pelo vaticano, segundo dois jornalistas próximos ao soberano pontífice. de acordo com os jornalistas do jornal argentino la nacion e da revista jesuíta americana america, ambos especialistas em vaticano e amigos do papa, francisco foi vacinado nesta quarta na entrada da sala de audiências paulo vi, na cidade do vaticano. solicitada, a santa sé ainda não confirmou as informações.",fake
"Bancos estão preocupados porque não fiscalizam funcionários no home office  

negócios de bilhões de dólares estão sendo feitos de mesas de cozinha ou em quartos uma vez que operadores de mercados financeiros estão trabalhando em casa como medida para evitar a disseminação do coronavírus, colocando sob teste protocolos criados para fazê-los seguirem as regras. os executivos encarregados por regras de compliance descobriram que não podem mais fiscalizar suas equipes. rahel sexton, diretora de serviços forenses e de práticas de integridade da ey, em londres, disse que a equipe de controle não pode andar pelos andares para ver o que realmente está acontecendo e ouvir parte das conversas.</s>",fake
"Ato em Brasília pede derrubada do veto de Bolsonaro à desoneração da folha de empresas

representantes de sindicatos de diversas atividades econômicas fizeram uma manifestação em brasília pela derrubada do veto do presidente jair bolsonaro à desoneração da folha de pagamento de empresas. em junho, o congresso aprovou prorrogar o veto, que atinge 17 setores da economia e termina no fim do ano. deputados e senadores têm o poder de derrubar a decisão do presidente. os 17 setores estão entre os que mais empregam no país. o veto geraria cortes nos postos de trabalho num momento em que o desemprego cresce 27,6% entre maio e agosto e atinge 12,9 milhões de pessoas.</s>",fake
"Covid: população de cidades com redução na infecção tem queda de anticorpos  

cidades que registraram as primeiras reduções no ritmo das infecções da covid-19 já percebem em inquéritos sorológicos que os moradores apresentam menos anticorpos para o novo coronavírus. o índice medido nessas pesquisas é o igg, anticorpo produzido na fase tardia da infecção. os casos de reinfecções confirmados pelo mundo mostram que ainda temos muito a entender sobre imunidade. em teresina, que realiza o inquérito sorológico mais antigo (que já está na 18a etapa) e completo do país, a pesquisa entre os dias 24 e 26 de julho estimou 107.587 moradores com infecção remota.</s>",fake
